total de voitures,Ménages sans voiture,Ménages avec une voiture,Ménages avec deux voitures ou plus,Ménages avec place(s) de stationnement,Nombre total d'accidents,Nombre de personnes tuées,Nombre de personnes indemnes,Nombre de personnes blessées, - dont blessés graves, - dont blessés légers,ville,lien
124.0,39.0,59.0,65.0,116.0,1.0,0.0,1.0,1.0,1.0,0.0,Verjon (01270),/management/ville/verjon/ville-01432
15.0,4.0,7.0,8.0,14.0,,,,,,,Éparcy (02500),/management/ville/eparcy/ville-02278
354.0,43.0,109.0,245.0,312.0,2.0,0.0,0.0,4.0,1.0,3.0,Charnoz-sur-Ain (01800),/management/ville/charnoz-sur-ain/ville-01088
1818.0,790.0,1114.0,704.0,1235.0,1.0,0.0,1.0,1.0,0.0,1.0,Jarnac (16200),/management/ville/jarnac/ville-16167
84.0,26.0,34.0,50.0,68.0,,,,,,,Quincy-le-Vicomte (21500),/management/ville/quincy-le-vicomte/ville-21518
357.0,79.0,127.0,230.0,305.0,1.0,0.0,0.0,1.0,1.0,0.0,Chambon (17290),/management/ville/chambon/ville-17080
23.0,25.0,14.0,9.0,13.0,,,,,,,Quirbajou (11500),/management/ville/quirbajou/ville-11306
22.0,8.0,15.0,7.0,20.0,,,,,,,Beffu-et-le-Morthomme (08250),/management/ville/beffu-et-le-morthomme/ville-08056
41.0,22.0,23.0,18.0,36.0,2.0,1.0,1.0,4.0,4.0,0.0,Saint-Juvin (08250),/management/ville/saint-juvin/ville-08383
46.0,1.0,21.0,25.0,44.0,,,,,,,Papleux (02260),/management/ville/papleux/ville-02584
225.0,214.0,128.0,97.0,206.0,1.0,1.0,1.0,0.0,0.0,0.0,Le Nayrac (12190),/management/ville/le-nayrac/ville-12172
80.0,42.0,35.0,45.0,60.0,,,,,,,Bernesq (14710),/management/ville/bernesq/ville-14063
118.0,81.0,69.0,49.0,99.0,2.0,1.0,5.0,1.0,1.0,0.0,Saint-Baudel (18160),/management/ville/saint-baudel/ville-18199
172.0,68.0,75.0,97.0,152.0,1.0,1.0,0.0,3.0,0.0,3.0,Lannebert (22290),/management/ville/lannebert/ville-22112
728.0,143.0,346.0,383.0,644.0,1.0,0.0,0.0,2.0,1.0,1.0,Saint-Porchaire (17250),/management/ville/saint-porchaire/ville-17387
74.0,195.0,37.0,37.0,48.0,2.0,0.0,4.0,2.0,2.0,0.0,Mérens-les-Vals (09110),/management/ville/merens-les-vals/ville-09189
170.0,267.0,99.0,71.0,118.0,2.0,0.0,0.0,3.0,2.0,1.0,Gluiras (07190),/management/ville/gluiras/ville-07096
84.0,111.0,35.0,49.0,67.0,,,,,,,Saint-Hilaire-Foissac (19550),/management/ville/saint-hilaire-foissac/ville-19208
29.0,10.0,13.0,17.0,24.0,,,,,,,Cusance (25110),/management/ville/cusance/ville-25183
62.0,31.0,28.0,35.0,53.0,,,,,,,Cussey-les-Forges (21580),/management/ville/cussey-les-forges/ville-21220
356.0,62.0,143.0,213.0,333.0,2.0,1.0,2.0,1.0,1.0,0.0,Saint-Laurent-des-Vignes (24100),/management/ville/saint-laurent-des-vignes/ville-24437
